plot,plot_surf,crop_2018,crop_2019,crop_2020,rotation,frac_mean,apar_year,rapar
6816835,2.11,MIS,SGH,MIS,MIS_SGH_MIS,0.25049883773986353,634.2497855887025,0.31619032173674216
6816838,21.86,MIS,MIS,MIS,MIS_MIS_MIS,0.2907180487262632,810.4190601769357,0.4040163002327909
6816839,8.8,SGH,LIH,SOG,SGH_LIH_SOG,0.2808952152984534,573.9133583493157,0.28611101422296903
6816840,0.87,SGH,LIH,SOG,SGH_LIH_SOG,0.269965668764341,557.0504935549974,0.27770442936339407
6816841,0.87,LIH,BTH,SGH,LIH_BTH_SGH,0.2547061929314187,465.0534371134172,0.2318414593852539
6816842,1.37,LIH,BTH,SGH,LIH_BTH_SGH,0.2908378507212819,509.7082420429535,0.2541030627134381
6816843,4.03,MIS,MIS,MIS,MIS_MIS_MIS,0.2435412174906,684.48045973331,0.34123242716270213
6816873,1.88,BTH,BTH,BTH,BTH_BTH_BTH,0.20809003714814694,511.63936025569603,0.2615876744751628
6816878,0.77,ORH,BTH,BTH,ORH_BTH_BTH,0.2936729579657285,735.7689867800625,0.3765838961367449
6816879,1.18,BTH,MIE,BTH,BTH_MIE_BTH,0.17809669502194506,477.9260030210156,0.24415612288021893
6816883,1.94,MLG,MLG,MLG,MLG_MLG_MLG,0.5311343834478808,1051.907329029958,0.5378123993955627
6816884,0.94,BTH,BTH,BTH,BTH_BTH_BTH,0.3005036355154014,735.4054759922868,0.37569361915481136
6816926,3.2,BTH,MIE,TTH,BTH_MIE_TTH,0.4068317122033432,771.1669300644309,0.37073755228203464
6816927,0.47,TTH,TTH,TTH,TTH_TTH_TTH,0.3368429957373071,764.4467142089874,0.36750681678246405
6816964,0.39,TTH,TTH,TTH,TTH_TTH_TTH,0.4271109965922581,1000.2249369636038,0.4841714506329959
6816966,2.19,BTH,BTH,BTH,BTH_BTH_BTH,0.3313364250950955,768.902876914193,0.39239973750115065
6816968,2.49,BTH,BTH,TRN,BTH_BTH_TRN,0.252396024394159,617.6723321355403,0.31579626743045797
6816971,1.17,CZH,BTH,BTH,CZH_BTH_BTH,0.2537447926669962,609.5102037920362,0.31162323015638216
6816972,0.48,MIS,MIS,MIS,MIS_MIS_MIS,0.20474097173768996,590.0741287044831,0.30113677573832126
6816978,1.07,TTH,TTH,ORP,TTH_TTH_ORP,0.42071078979318505,1017.2477480622952,0.5163281366666295
6816990,1.61,PTR,LUZ,LUZ,PTR_LUZ_LUZ,0.5718168223904764,1131.3382179107743,0.567433742291663
6817008,1.97,MIS,PTR,PTR,MIS_PTR_PTR,0.43148348719938306,955.8918748450507,0.4806328577409507
6817009,2.2,BTH,PTR,PTR,BTH_PTR_PTR,0.46493464830290615,982.0967546633269,0.49380895705224354
6817010,1.74,MIS,PTR,PTR,MIS_PTR_PTR,0.4390529077136143,965.9930346389909,0.4887298661687828
6817014,1.11,PTR,PTR,PTR,PTR_PTR_PTR,0.6919620189663749,1421.0221004415748,0.6930369187469317
6817015,3.23,BTH,MIE,TTH,BTH_MIE_TTH,0.3223883818894396,689.9430985109786,0.3306137493011934
6817018,2.32,ORH,MIS,MIS,ORH_MIS_MIS,0.2770551373361072,688.4707451491644,0.34843734779991176
6817019,2.61,MIS,BTH,ORH,MIS_BTH_ORH,0.3222549386815628,814.1187089960764,0.4120282027312883
6817020,0.98,ORH,LUZ,LUZ,ORH_LUZ_LUZ,0.5739385578885613,1083.00249857316,0.5481111883435961
6817022,2.94,LU8,LUZ,LUZ,LU8_LUZ_LUZ,0.7990478566416319,1545.109853815211,0.7819852670809376
6817027,0.96,ORH,MIS,BTH,ORH_MIS_BTH,0.2925320249659558,709.3189461888347,0.3589886921058898
6817028,2.04,LU6,LUZ,BTH,LU6_LUZ_BTH,0.4746163459936135,1048.6714240730885,0.5307361166645019
