date,day_num,plot,ndvi,SURF_PARC,CODE_CULTU_2018,CODE_CULTU_2019,CODE_CULTU_2020,crop,year,com,radiation,min_ndvi,max_ndvi,scaled_ndvi,frac,par,apar,rotation,gp
2020-06-17,899,13291807,0.23963366891194132,4.52,MIS,MIS,MIS,MIS,2020,63151,17547177.003123265,0.19443403751167376,0.8755654353370409,0.06635963566585742,0.00440360124570533,8422644.961499168,37089.96984459151,MIS_MIS_MIS,top
2020-06-18,900,6787103,0.2641380876674994,0.33,MIS,MIS,MIS,MIS,2020,63195,16706436.441007176,0.1581965907280548,0.8487464036169339,0.15341615472494863,0.02353651653058938,8019089.491683444,188741.43238128297,MIS_MIS_MIS,top
2020-06-18,900,6801438,0.2109499826380161,1.2,MIS,MIS,MIS,MIS,2020,63149,16633836.119503874,0.05225541919217437,0.679742152516227,0.25290504964969057,0.06396096413831245,7984241.337361859,510679.77385063376,MIS_MIS_MIS,low
2020-06-18,900,6815364,0.2694628688531109,6.66,MIS,MIS,MIS,MIS,2020,63444,17673246.636173297,0.11633484928319594,0.8640873567770765,0.2047843611827248,0.04193663458501667,8483158.385363182,355755.1133337958,MIS_MIS_MIS,low
2020-06-18,900,6819224,0.2678814762868486,1.78,MIS,MIS,MIS,MIS,2020,63366,17829670.316606954,0.10322638241291604,0.75,0.2545791748405118,0.06481055626247587,8558241.751971338,554664.4085740084,MIS_MIS_MIS,top
2020-06-18,900,6838703,0.1453047221815631,1.33,MIS,MIS,MIS,MIS,2020,63194,16863922.360650398,0.15,0.7526723339348179,-0.00779076382647542,6.069600099991807e-5,8094682.733112191,491.31487126299703,MIS_MIS_MIS,low
2020-06-18,900,6841153,0.355607677062762,3.36,MIS,MIS,MIS,MIS,2020,63138,16637132.67844981,0.18184657615101008,0.75,0.3058348214019318,0.09353493798195152,7985823.685655909,746953.5231726249,MIS_MIS_MIS,top
2020-06-18,900,6851622,0.28991476232451985,0.58,MIS,MIS,MIS,MIS,2020,63455,17099638.35764931,0.27396412680756393,0.7400515569439244,0.03422241083027991,0.00117117340303645,8207826.411671669,9612.787990090044,MIS_MIS_MIS,top
2020-06-18,900,6857720,0.19656447428363513,5.45,MIS,MIS,MIS,MIS,2020,63149,16633836.119503874,0.05515684448253138,0.7837335879847629,0.19408748777975593,0.03766995291265691,7984241.337361859,300765.99522171007,MIS_MIS_MIS,low
2020-06-18,900,13282854,0.13104408733072417,14.48,MIS,MIS,MIS,MIS,2020,63327,16870994,0.15,0.72812692995962,-0.03278849624009008,0.0010750854856864,8098077.12,8706.125173681135,MIS_MIS_MIS,low
2020-06-18,900,13291807,0.23963366891194132,4.52,MIS,MIS,MIS,MIS,2020,63151,16893567.768291336,0.19443403751167376,0.8755654353370409,0.06635963566585742,0.00440360124570533,8108912.528779841,35708.41731305052,MIS_MIS_MIS,top
