date,day_num,plot,ndvi,SURF_PARC,CODE_CULTU_2018,CODE_CULTU_2019,CODE_CULTU_2020,crop,year
2020-09-09,983,13287874,0.17643959036618465,0.85,BTH,MIS,BTH,BTH,2020
2020-01-15,745,6863325,0.3598227703068252,8.99,BTH,MIS,BTH,BTH,2020
2020-12-11,1076,6759546,0.3028319083288915,3.19,CZH,BTH,BTH,BTH,2020
2020-11-27,1062,6770783,0.7566822403211093,1.42,BTH,MIS,BTH,BTH,2020
2020-12-12,1077,6760797,0.14502393427989346,4.55,BTH,FVL,BTH,BTH,2020
2020-01-09,739,6787362,0.47262980505846336,0.97,PTR,BTH,BTH,BTH,2020
2020-11-14,1049,6871898,0.5556366674573834,4.61,CZH,BTH,BTH,BTH,2020
2020-01-20,750,6816438,0.35596641066571044,8.5,BTH,TRN,BTH,BTH,2020
2020-07-14,926,6802734,0.3893288148678982,0.46,TRN,MIS,BTH,BTH,2020
2020-10-08,1012,6806258,0.18180553533610092,1.13,BTH,CZH,BTH,BTH,2020
2020-11-09,1044,6866964,0.15251330189348591,1.4,CZH,BTH,BTH,BTH,2020
2020-06-19,901,6781641,0.7753995628703969,0.74,ORH,CZH,BTH,BTH,2020
2020-07-31,943,6759962,0.17746627747097596,4.69,TRN,BTH,BTH,BTH,2020
2020-11-12,1047,6830967,0.1876924371601425,1.55,BTH,ORH,BTH,BTH,2020
2020-01-08,738,10909182,0.3901792288704889,2.37,BTH,AVP,BTH,BTH,2020
2020-07-28,940,13284912,0.18955103521824967,2.55,BTH,MIS,BTH,BTH,2020
2020-10-10,1014,10895309,0.37556109124628634,2.98,BTH,LEC,BTH,BTH,2020
2020-10-25,1029,6760689,0.14923824500834804,2.83,BTH,TRN,BTH,BTH,2020
2020-08-19,962,6842086,0.16905076891537454,1.04,BTH,MIS,BTH,BTH,2020
2020-07-18,930,6765657,0.23848825087749503,1.62,LUZ,LUZ,BTH,BTH,2020
2020-05-01,852,6874796,0.8821957797380398,7.78,BTH,TRN,BTH,BTH,2020
2020-04-27,848,6886584,0.8672319397918429,2.61,TTH,TRN,BTH,BTH,2020
2020-10-09,1013,6822790,0.2932498781124331,1.07,BTH,TTH,BTH,BTH,2020
2020-09-19,993,10908159,0.4020373031613119,2.55,TRN,ORH,BTH,BTH,2020
2020-09-16,990,13290942,0.14441992352960514,6.58,LU6,BTH,BTH,BTH,2020
2020-06-16,898,6781535,0.7392720004599844,2.29,MLG,MLG,BTH,BTH,2020
2020-05-03,854,13286554,0.8789737444294295,2.21,BTH,TRN,BTH,BTH,2020
2020-02-07,768,6857684,0.5007800207885378,1.15,BTH,CZH,BTH,BTH,2020
2020-02-28,789,6885507,0.8068311194281952,2.2,BTH,BTH,BTH,BTH,2020
2020-07-20,932,6813360,0.1943220883584684,4.55,MIS,MIS,BTH,BTH,2020
2020-06-26,908,6763641,0.5879140007129188,3.47,BTH,TRN,BTH,BTH,2020
2020-08-26,969,6759560,0.20160223588069492,1.87,BTH,TRN,BTH,BTH,2020
2020-02-26,787,6803492,0.5526493946536792,1.48,BTH,MIS,BTH,BTH,2020
2020-08-08,951,13275846,0.18724077119531435,0.94,MIS,BTH,BTH,BTH,2020
2020-11-13,1048,6840694,0.16286138947965256,1.49,MIS,BTH,BTH,BTH,2020
2020-02-16,777,6771163,0.15118617997278552,1.17,LU6,LUZ,BTH,BTH,2020
2020-12-12,1077,6763075,0.24547065180379316,0.97,TRN,BTH,BTH,BTH,2020
2020-02-05,766,6862735,0.4168694102963591,5.25,MIS,BTH,BTH,BTH,2020
2020-04-21,842,10891486,0.8643863321361562,0.81,MLG,BTH,BTH,BTH,2020
2020-09-07,981,6763545,0.24617425492677428,9.97,TRN,BTH,BTH,BTH,2020
2020-08-05,948,6875967,0.4751660474639029,0.54,TRN,BTH,BTH,BTH,2020
2020-02-23,784,6765541,0.2871331606277848,3.6,ORH,MIS,BTH,BTH,2020
2020-11-27,1062,6870476,0.2278009160088562,1.19,BTH,LEC,BTH,BTH,2020
2020-10-08,1012,13272253,0.20334189905361277,1.41,MIS,MIS,BTH,BTH,2020
2020-01-13,743,6779257,0.1999018436311228,5.38,BTH,MIS,BTH,BTH,2020
2020-02-09,770,6814218,0.4929700884280361,0.75,BTH,MIS,BTH,BTH,2020
2020-05-29,880,6826845,0.8506061982323355,2.95,BTH,MIS,BTH,BTH,2020
2020-03-25,815,6870694,0.8822547799170867,4.43,PTR,MIE,BTH,BTH,2020
2020-05-05,856,6751655,0.702018262927367,3.06,BTH,MIS,BTH,BTH,2020
2020-08-26,969,6840451,0.1291029095255046,0.94,TRN,BTH,BTH,BTH,2020
2020-01-13,743,13286045,0.20565295638009437,4.62,BTH,BTH,BTH,BTH,2020
2020-08-16,959,10898300,0.2739549514234236,3.02,BTH,TRN,BTH,BTH,2020
2020-01-25,755,6841489,0.6870703022314144,1.03,CZH,BTH,BTH,BTH,2020
2020-05-04,855,10912770,0.7323979679172257,4.76,BTH,FVL,BTH,BTH,2020
2020-05-26,877,6807595,0.8584233524078477,1.11,BTH,BTH,BTH,BTH,2020
2020-03-28,818,6872566,0.8172351488099262,0.96,TRN,BTH,BTH,BTH,2020
2020-04-28,849,6777249,0.7760024399109202,2.6,PTR,PTR,BTH,BTH,2020
2020-02-24,785,6848166,0.7800276026640667,1.41,BTH,TRN,BTH,BTH,2020
2020-10-14,1018,6843254,0.21160642589748105,6.5,LU8,LUZ,BTH,BTH,2020
2020-04-19,840,6759554,0.7766687274987301,1.72,BTH,TRN,BTH,BTH,2020
2020-01-04,734,6763538,0.18209034725772735,1.26,CZH,BTH,BTH,BTH,2020
2020-03-20,810,13282844,0.8654860898669927,4.65,BTH,TRN,BTH,BTH,2020
2020-11-01,1036,6875626,0.2005791711204607,0.81,BTH,TRN,BTH,BTH,2020
2020-08-25,968,6809314,0.5482801233445604,0.83,BTH,BTH,BTH,BTH,2020
2020-05-25,876,6845300,0.7995103411455079,1.63,BTH,CZH,BTH,BTH,2020
2020-07-18,930,6881282,0.2658862031182916,4.51,PTR,PTR,BTH,BTH,2020
2020-07-15,927,6762659,0.20001907296517868,3.55,BTH,TRN,BTH,BTH,2020
2020-11-23,1058,13273615,0.21955532109267356,5.88,TRN,BTH,BTH,BTH,2020
2020-11-29,1064,6833798,0.21465309077311476,2.69,MIS,MIS,BTH,BTH,2020
2020-02-20,781,10897602,0.4242594799681253,1.82,BTH,MIS,BTH,BTH,2020
2020-06-23,905,6753871,0.5393068438198511,1.52,BTH,TRN,BTH,BTH,2020
2020-10-04,1008,6859437,0.1459733271016873,0.66,BTH,TRN,BTH,BTH,2020
2020-09-24,998,6814366,0.13528481188994962,1.15,BTH,MIS,BTH,BTH,2020
2020-01-05,735,10906874,0.2254527883674288,1.19,BTH,MIS,BTH,BTH,2020
2020-02-07,768,13284816,0.5115741822321126,6.83,BTH,MIS,BTH,BTH,2020
2020-02-10,771,13279695,0.367156015528459,1.58,ORH,MIE,BTH,BTH,2020
2020-07-31,943,6770179,0.1905510003679312,1.15,TRN,BTH,BTH,BTH,2020
2020-07-03,915,13293978,0.3821010099119622,1.51,BTH,LEC,BTH,BTH,2020
2020-05-21,872,6879951,0.8516782977363689,13,BTH,BTH,BTH,BTH,2020
2020-04-26,847,13274792,0.908092385723666,2.75,MIE,MIE,BTH,BTH,2020
2020-03-30,820,6886972,0.6561032609583167,0.73,PTR,SOG,BTH,BTH,2020
2020-10-05,1009,6815545,0.33375067607203635,1.44,BTH,BTH,BTH,BTH,2020
2020-10-12,1016,6892730,0.496657914624434,1.11,LUZ,BTH,BTH,BTH,2020
2020-02-28,789,6770268,0.33033508804600104,6.41,TRN,BTH,BTH,BTH,2020
2020-11-07,1042,4596351,0.39828874049846974,2.5,BTH,SOG,BTH,BTH,2020
2020-08-02,945,6819028,0.1456439558918389,0.71,BTH,LIH,BTH,BTH,2020
2020-10-08,1012,6802168,0.17468864696377942,1.03,BTH,TRN,BTH,BTH,2020
2020-07-19,931,6830143,0.2597865175692058,2.81,BTH,ORH,BTH,BTH,2020
2020-05-26,877,6821579,0.9011648491851072,4.58,BTH,MIS,BTH,BTH,2020
2020-10-24,1028,6807945,0.1559887288227142,3.78,MIE,BTH,BTH,BTH,2020
2020-05-29,880,6876295,0.5737054411165305,1.47,TRN,BTH,BTH,BTH,2020
2020-12-02,1067,284472,0.39324043621816207,1.81,BTH,MIE,BTH,BTH,2020
2020-01-19,749,6885512,0.24745344591200957,3.27,BTH,BTH,BTH,BTH,2020
2020-12-30,1095,6752319,0.13600378440501876,1.55,BTH,BTH,BTH,BTH,2020
2020-09-24,998,13294020,0.5012206394816486,0.77,SRS,LEC,BTH,BTH,2020
2020-06-23,905,6857773,0.4224091051104015,2.67,LU7,LUZ,BTH,BTH,2020
2020-06-03,885,6770261,0.7178939925561153,1.55,TRN,BTH,BTH,BTH,2020
2020-10-17,1021,6866203,0.16541948092363554,0.88,BTH,BTH,BTH,BTH,2020
2020-05-31,882,6760690,0.7405814291299319,0.73,BTH,BTH,BTH,BTH,2020
2020-11-23,1058,6815880,0.17955395545821115,0.64,BTH,ORH,BTH,BTH,2020
2020-06-13,895,13278835,0.8374153276038732,1.77,BTH,TRN,BTH,BTH,2020
2020-02-11,772,6820348,0.2560209011412136,0.68,BTH,BTH,BTH,BTH,2020
2020-12-17,1082,10898518,0.5786680944570968,1.1,BTH,MIS,BTH,BTH,2020
2020-10-03,1007,6880688,0.3364426709203938,2.1,BTH,MIE,BTH,BTH,2020
